,Informant #,Age,Sex,County,City,State,Geolocation,Type,Education,Generation,Field worker,Notes
NH048,048,68,M,Rockingham,Rye,NH,"43.0133° N, 70.7708° W",,,,GL,
ME049,049,55,M,York,York (Cape Neddick),ME,"43.1689° N, 70.6172° W",,,,GL,
NH050,050,69,M,Rockingham,Rye,NH,"43.0133° N, 70.7708° W",,,,GL,
NH051,051,39,M,Rockingham,Seabrook (South Seabrook),NH,"42.8936° N, 70.8733° W",,,,GL,
MA052,052,53,F,Essex,Newbury (Byfield),MA,"42.7598° N, 70.9481° W",,,,GL,
ME053,053,82,M,York,Wells,ME,"43.3203° N, 70.6117° W",,,,GL,No matching Inf. in LH
MA054,054,56,M,Worcester,Spencer,MA,"42.2439° N, 71.9928° W",,,,BB,
MA055,055,79-80,M,Hampden,Palmer,MA,"42.1583° N, 72.3292° W",,,,BB,
MA056,056,62,M,Bristol,Taunton,MA,"41.9000° N, 71.0903° W",,,,CR,
MA057,057,42,M,Plymouth,Plymouth,MA,"41.9583° N, 70.6678° W",,,,CR,
MA058,058,61,M,Worcester,Spencer,MA,"42.2439° N, 71.9928° W",,,,BB,No matching Inf. in LH
MA059,059,65,M,Worcester,Spencer,MA,"42.2439° N, 71.9928° W",,,,BB,
CT060,060,71,M,New Haven,Southbury,CT,"41.4736° N, 73.2342° W",,,,MLH,
MA061,061,35-36,M,Hampden,Palmer,MA,"42.1583° N, 72.3292° W",,,,BB,No matching Inf. in LH
CT062,062,70,M,New Haven,Madison (East River),CT,"41.3378° N, 72.6294° W",,,,HK,
NH063,063,89,M,Strafford,Lee (North Lee),NH,"43.1231° N, 71.0114° W",,,,GL,
ME064,064,78,M,York,Springvale,ME,"43.4641° N, 70.7955° W",,,,GL,Poss Shapleigh Inf.?
BLANK65,065,BLANK,BLANK,BLANK,BLANK,BLANK,,,,,GL,No matching Inf. in LH
ME066,066,75,M,York,Acton,ME,"43.5342° N, 70.9097° W",,,,GL,
NH067,067,66,M,Strafford,Dover,NH,"43.1947° N, 70.8750° W",,,,GL,Poss Lee (North Lee) Inf.?
NH068,068,88,M,Strafford,North Lee,NH,"43.1231° N, 71.0114° W",,,,GL,Poss Barrington Inf.?
CT069,069,75,M,New Haven,Wallingford,CT,"41.4564° N, 72.8042° W",,,,HK,
MA070,070,78,M,Hampden,Monson,MA,"42.1041° N,  72.3194° W﻿",,,,BB,
RI071,071,50,F,Washington,Wakefield,RI,"41.4411° N, 71.4992° W",,,,RH,LH age = 56
MA072,072,80,M,Barnstable,Barnstable (West Barnstable),MA,"41.7000° N, 70.3000° W",,,,CR,
MA073,073,73,M,Barnstable,Barnstable (West Barnstable),MA,"41.7000° N, 70.3000° W",,,,CR,
MA074,074,88,M,Barnstable,Harwich (Pleasant Lake),MA," ﻿41.6861° N, 70.0763° W",,,,CR,
NH075,075,63,M,Rockingham,Seabrook (South Seabrook),NH,"42.8936° N, 70.8733° W",,,,GL,
ME076,076,63,M,Cumberland,Portland,ME,"43.6670° N, 70.2670° W",,,,GL,
ME077,077,78,M,York,Biddeford (Biddeford Pool),ME,"43.4742° N, 70.4461° W",,,,GL,
ME078,078,77,M,Cumberland,Portland,ME,"43.6670° N, 70.2670° W",,,,GL,
MA079,079,66,M,Franklin,Deerfield (Pine Nook),MA,"42.5444° N, 72.6061° W",,,,MJ,
MA080,080,41,M,Franklin,Colrain,MA,"42.6730° N, 72.6972° W",,,,MJ,
MA081,081,BLANK,M,Hampden,Blandford,MA,"42.1805° N, 72.9277° W",,,,MJ,Poss Aux to Inf. 82 (p 199 LH)
MA082,082,73,F,Hampden,Blandford,MA,"42.1805° N, 72.9277° W",,,,MJ,
ME083,083,75,M,Cumberland,Standish (Camp Miles Standish),ME,"41.9478° N, 71.1324° W",,,,GL,
ME084,084,81,M,Cumberland,Yarmouth (Yarmouthville),ME,"41.7000° N, 70.2330° W",,,,GL,
ME085,085,67,M,Cumberland,Portland,ME,"43.6670° N, 70.2670° W",,,,GL,
ME086,086,70,BLANK,Cumberland,Portland,ME,"43.6670° N, 70.2670° W",,,,GL,
ME087,087,70,F,York,Kennebunkport,ME,"43.3617° N, 70.4767° W",,,,GL,
ME088,088,43,M,York,Limington (North Limington),ME,"43.7317° N, 70.7108° W",,,,GL,
MA089,089,76-77,M,Hampshire,Granby,MA,"42.2564° N, 72.5167° W",,,,BB,LH age = 77
MA090,090,71-72,M,Hampden,Springfield,MA,"42.1124° N, 72.5475° W",,,,BB,LH age = 71
MA091,091,73,M,Hampshire,Granby,MA,"42.2564° N, 72.5167° W",,,,BB,
CT092,092,77,M,Hartford,Farmington,CT,"41.7278° N, 72.8403° W",,,,MLH,
MA093,093,55,F,Hampden,Springfield,MA,"42.1124° N, 72.5475° W",,,,BB,
MA094,094,76,M,Barnstable,Chatham,MA,"41.6819° N, 69.9603° W",,,,CR,
MA095,095,80,M,Barnstable,Eastham (North Eastham),MA,"41.8300° N, 69.9744° W﻿",,,,CR,
MA096,096,48,M,Barnstable,Eastham (Eastham),MA,"41.8300° N, 69.9744° W﻿",,,,CR,
MA097,097,60,M,Barnstable,Truro (Truro),MA,"41.9933° N, 70.0502° W",,,,CR,
VT098,098,54,M,Windsor,Windsor,VT,"43.4767° N, 72.4011° W",,,,LSH,
VT099,099,76,M,Windsor,Windsor,VT,"43.4767° N, 72.4011° W",,,,LSH,
NH100,100,75,M,Grafton,Lyme (Lyme Plain),NH,"43.8103° N, 72.1561° W",,,,LSH,
NH101,101,47,M,Grafton,Lyme (Lyme Plain),NH,"43.8103° N, 72.1561° W",,,,LSH,
MA102,102,73,F,Hampden,Springfield,MA,"42.1124° N, 72.5475° W",,,,BB,
CT103,103,92,M,Littlefield,Winchester,CT,"41.9225° N, 73.0697° W",,,,MLH,LH County = Litchfield
MA104,104,93,M,Barnstable,Falmouth (Teaticket),MA,"41.5514° N, 70.6153° W",,,,CR,
MA105,105,85,M,Plymouth,Wareham (East Wareham),MA,"41.7625° N, 70.7222° W",,,,BLANK,
MA106,106,50,M,Barnstable,Chatham,MA,"41.6819° N, 69.9603° W",,,,CR,
MA107,107,73,M,Barnstable,Truro (North Truro),MA,"41.9933° N, 70.0502° W",,,,CR,
MA108,108,51,F,Hampshire,Northampton,MA,"42.3333° N, 72.6500° W",,,,MJ,
CT109,109,78,M,Hartford,Hartland,CT,"42.0050° N, 72.9481° W",,,,MLH,
RI110,110,75,F,Washington,Richmond (Wyoming),RI,"41.5154° N, 71.7015° W",,,,RH,
RI111,111,73,M,Washington,Narrangansett (Point Judith),RI,"41.3610° N, 71.4814° W",,,,RH,Poss Aux to Inf. 17 (p 176 LH)
CT112,112,47,M,Hartford,Farmington,CT,"41.7278° N, 72.8403° W",,,,MLH,
CT113,113,76,F,Litchfield,Winchester (Winstead),CT,"41.9225° N, 73.0697° W",,,,MLH,"LH age = 56; 76 circled w/""wrong in LH"" above it"
RI114,114,43,M,Washington,Richmond (Arcadia),RI,"41.5555° N, 71.6966° W",,,,RH,
RI115,115,63,F,Newport,Newport,RI,"41.4880° N, 71.3126° W",,,,RH,
RI116,116,94,F,Washington,Richmond (Wyoming),RI,"41.5154° N, 71.7015° W",,,,RH,
NH117,117,75,M,Sullivan,Newport,NH,"43.3653° N, 72.1733° W",,,,LSH,
NH118,118,56,M,Sullivan,Goshen (Mill Village),NH,"43.3011° N, 72.1478° W",,,,LSH,
MA119,119,86,M,Berkshire,Stockbridge,MA,"42.2875° N, 73.3208° W",,,,MJ,
MA120,120,82,M,Hampden,Granville,MA,"42.0666° N, 72.8619° W",,,,MJ,
RI121,121,82,M,Newport,Portsmith (Bristol Ferry),RI,"41.6430° N, 71.2602° W﻿",,,,RH,
RI122,122,65,F,Newport,Middletown (Slate Hill),RI,"41.5456° N, 71.2914° W",,,,RH,
MA123,123,86/72,M/F,Worcester,Templeton,MA,"42.5555° N, 72.0680° W",,,,BB,Widow completed interview
MA124,124,42,M,Franklin,New Salem,MA,"42.5194° N, 70.8972° W",,,,BB,
MA125,125,52,M,Worcester,Templeton,MA,"42.5555° N, 72.0680° W",,,,BB,No matching Inf. in LH; See p 193
CT126,126,80,M,Hartford,Hartford,CT,"41.7627° N, 72.6743° W",,,,HK,
MA127,127,77,F,Franklin,New Salem,MA,"42.5194° N, 70.8972° W",,,,BB,
NH128,128,89,F,Merrimac,Wilmot (Wilmot Flat),NH,"43.4508° N, 71.9133° W",,,,MC,
NH129,129,70,M,Belknap,Laconia,NH,"43.5275° N, 71.4703° W",,,,MC,
NH130,130,77,M,Rockingham,Derry (East Derry),NH,"42.8806° N, 71.3272° W",,,,GL,
ME131,131,42,M,York,York (Cape Neddick),ME,"43.1689° N, 70.6172° W",,,,GL,
NH132,132,77,M,Rockingham,Kingston,NH,"42.9364° N, 71.0533° W",,,,GL,
CT133,133,30,M,Hartford,Hartford,CT,"41.7627° N, 72.6743° W",,,,HK,
RI134,134,51,F,Newport,Newport,RI,"41.4880° N, 71.3126° W",,,,RH,
MA135,135,63,M,Franklin,Northfield (Gill),MA,"42.6402° N, 72.5000° W",,,,BB,LH town = Gill
MA136,136,70,M,Franklin,Northfield,MA,"42.6958° N, 72.4533° W",,,,BB,
MA137,137,80,F,Hampden,Springfield,MA,"42.1124° N, 72.5475° W",,,,BB,
RI138,138,82,F,Newport,Middletown (Middletown),RI,"41.5456° N, 71.2914° W",,,,RH,
CT139,139,75,M,New Haven,New Haven,CT,"41.3100° N, 72.9236° W",,,,HK,
MA140,140,81,M,Worcester,Winchendon,MA,"42.6861° N, 72.0444° W",,,,BB,
MA141,141,40,M,Worcester,Winchendon,MA,"42.6861° N, 72.0444° W",,,,BB,
CT142,142,80,M,Hartford,Hartford,CT,"41.7627° N, 72.6743° W",,,,HK,
RI143,143,73,F,Providence,Foster (Foster Center),RI,"41.8536° N, 71.7581° W",,,,RH,
NH144,144,96,F,Merrimack,Webster,NH,"43.3288° N, 71.7177° W﻿ ",,,,MC,
MA145,145,76,M,Worcester,Sterling,MA,"42.4375° N, 71.7611° W",,,,BB,
MA146,146,55,M,Worcester,Lunenburg,MA,"42.5944° N, 71.7250° W",,,,BB,
MA147,147,62,F,Worcester,Lunenburg,MA,"42.5944° N, 71.7250° W",,,,BB,
MA148,148,82,M,Worcester,Sterling,MA,"42.4375° N, 71.7611° W",,,,BB,
MA149,149,83,F,Berkshire,Lenox,MA,"42.3563° N, 73.2852° W",,,,MJ,
MA150,150,49,M,Hampden,Granville,MA,"42.0666° N, 72.8619° W",,,,MJ,
MA151,151,45,F,Hampden,Blandford,MA,"42.1805° N, 72.9277° W",,,,MJ,
MA152,152,89,F,Berkshire,Egremont (South Egremont),MA,"42.1847° N, 73.4144° W",,,,MJ/BB,
MA153,153,55,M,Hampshire,Northampton,MA,"42.3333° N, 72.6500° W",,,,MJ,
MA154,154,45,M,Berkshire,Pittsfield,MA,"42.4500° N, 73.2500° W",,,,MJ,No matching Inf.? P 200-201
MA155,155,BLANK,M,Berkshire,Alford,MA,"42.2355° N, 73.4138° W",,,,MJ/BB,LH age = 67
NH156,156,90,F,Merrimack,Concord,NH,"43.2067° N, 71.5381° W",,,,MC,LH age = 70
NH157,157,79,M,Merrimack,Loudon (Loudon Ridge),NH,"43.2856° N, 71.4678° W",,,,MC,
NH158,158,74,M,Hillsborough,Amherst,NH,"42.8614° N, 71.6253° W",,,,MC,No matching Inf.? P 217
NH159,159,78,F,Hillsborough,New Boston,NH,"42.9758° N, 71.6917° W",,,,MC,
CT160,160,BLANK,F,New Haven,New Haven,CT,"41.3100° N, 72.9236° W",,,,HK,LH age = 45
RI161,161,74,F,Providence,Providence,RI,"41.8236° N, 71.4222° W",,,,RH,
VT162,162,75,M,Windsor,Andover (Simonsville),VT,"43.2727° N, 72.7180° W",,,,GL,
NH163,163,66,F,Sullivan,Charlestown,NH,"43.2344° N, 72.4244° W",,,,GL,
NH164,164,84,M,Merrimack,Sutton (Sutton Mills),NH,"43.3342° N, 71.9514° W",,,,GL,
NH165,165,76,M,Merrimack,Webster,NH,"43.3288° N, 71.7177° W﻿ ",,,,GL,
NH166,166,84,M,Belknap,Gilford (Gunstock Hill),NH,"43.5475° N, 71.4072° W",,,,GL,
NH167,167,88,M,Belknap,Belmont,NH,"43.4428° N, 71.4825° W",,,,GL,
VT168,168,73,M,Windham,Newfane,VT,"42.9833° N, 72.6833° W",,,,GL,
VT169,169,81,F,Windham,Rockingham,VT,"43.1658° N, 72.4817° W",,,,MC/GL,
NH170,170,67,M,Hillsborough,Antrim (Antrim),NH,"43.0308° N, 71.9389° W",,,,GL,
NH171,171,66,M,Hillsborough,Antrim (North Branch),NH,"43.0308° N, 71.9389° W",,,,GL,
NH172,172,70,F,Hillsborough,Francestown,NH,"42.9875° N, 71.8125° W",,,,GL,
NH173,173,79,M,Rockingham,Deerfield (South Deerfield),NH,"43.1461° N, 71.2164° W",,,,GL,
NH174,174,75,F,Rockingham,Kingston,NH,"42.9364° N, 71.0533° W",,,,GL,
NH175,175,68,M,Rockingham,Londonderry (Londonderry Center),NH,"42.8650° N, 71.3739° W",,,,GL,
NH176,176,77,F,Cheshire,Keene,NH,"42.9336° N, 72.2781° W",,,,MC,
NH177,177,80,M,Cheshire,Marlow,NH,43.1158° N 72.1969° W﻿,,,,MC,
NH178,178,61,F,Rockingham,Candia,NH,"43.0778° N, 71.2767° W",,,,MC,
NH179,179,56,F,Sullivan,Charlestown,NH,"43.2344° N, 72.4244° W",,,,MC,
NH180,180,85,F,Hillsborough,Amherst,NH,"42.8614° N, 71.6253° W",,,,MC,LH age = 86
NH181,181,BLANK,F,Cheshire,Keene,NH,"42.9336° N, 72.2781° W",,,,MC,LH age = 74
VT182,182,85,F,Windham,Brattleboro,VT,"42.8500° N, 72.5822° W",,,,GL,
CT183,183,81,M,Litchfield,Sharon,CT,"41.8667° N, 73.4500° W",,,,MLH,
CT184,184,89,M,Litchfield,Sharon,CT,"41.8667° N, 73.4500° W",,,,MLH,
MA185,185,74,F,Berkshire,Mill River,MA,"42.1227° N, 73.2291° W",,,,MLH,LH town = New Marlborough (Mill River)
MA186,186,76,M,Berkshire,Mill River,MA,"42.1227° N, 73.2291° W",,,,MLH,LH town = New Marlborough (Mill River)
CT187,187,72,M,Litchfield,Morris,CT,"41.6939° N, 73.2106° W",,,,MLH,Poss Aux. to Inf. 187; LH town = Litchfield (Bantam); Morris mentioned in town history
CT188,188,75,M,Litchfield,Litchfield (Litchfield),CT,"41.7472° N, 73.1897° W",,,,MLH,
CT189,189,68,M,Litchfield,Cornwall (West Cornwall),CT,"41.8453° N, 73.3314° W",,,,MLH,
CT190,190,69,M,Litchfield,Cornwall (West Cornwall),CT,"41.8453° N, 73.3314° W",,,,MLH,
CT191,191,80,M,Litchfield,Morris,CT,"41.6939° N, 73.2106° W",,,,MLH,Poss Aux. to Inf. 187; LH town = Litchfield (Bantam); Morris mentioned in town history
CT192,192,55,M,Windham,Canterbury,CT,"41.7000° N, 72.0000° W",,,,RH,
CT193,193,78,F,Windham,Canterbury,CT,"41.7000° N, 72.0000° W",,,,RH,
RI194,194,74,M,Providence,Foster (South Foster),RI,"41.8536° N, 71.7581° W",,,,RH,
CT195,195,45-50,F,New London,Stonington (Stonington Borough),CT,"41.3650° N, 71.9067° W",,,,RH,
CT196,196,30,F,New Haven,Guilford ,CT,"41.2828° N, 72.6819° W",,,,HK,
CT197,197,27,F,Fairfield,Greens Farms,CT,"41.1233° N, 73.3469° W",,,,MLH,LH town = Westport (Greens Farms)
CT198,198,85,M,Fairfield,Stamford (Stamford),CT,"41.0967° N, 73.5522° W",,,,MLH,
CT199,199,76,M,Fairfield,Stamford (Stamford),CT,"41.0967° N, 73.5522° W",,,,MLH,
MA200,200,83,M,Worcester,Worcester,MA,"42.2667° N, 71.8000° W",,,,BB,
MA201,201,80,M,Worcester,Shrewsbury,MA,"42.2958° N, 71.7133° W",,,,BB,
MA202,202,26,M,Worcester,Shrewsbury,MA,"42.2958° N, 71.7133° W",,,,BB,
MA203,203,50,M,Middlesex,Marlborough,MA,"42.3458° N, 71.5528° W",,,,BB,
MA204,204,74,F,Middlesex,Marlborough,MA,"42.3458° N, 71.5528° W",,,,BB,
CT205,205,79,M,Fairfield,Old Greenwich,CT,"41.0228° N, 73.5647° W",,,,MLH,LH town = Greenwich (Old Greenwich)
CT206,206,76,F,New London,Stonington (Quiambog),CT,"41.3650° N, 71.9067° W",,,,RH,
CT207,207,52,M,Middlesex,Groton,CT,"41.3458° N, 72.0297° W",,,,BB,
CT208,208,91,M,Middlesex,Groton,CT,"41.3458° N, 72.0297° W",,,,BB,
CT209,209,61,M,New London,Stonington (Stonington),CT,"41.3650° N, 71.9067° W",,,,RH,
CT210,210,81,M,Hartford,Simsbury,CT,"41.8706° N, 72.8253° W",,,,MLH,
MA211,211,41,M,Middlesex,Belmont (Boston district),MA,"42.3958° N, 71.1792° W",,,,MLH,"Poss Aux. to Inf. 429; Middlesex County pp. 186-188, 191"
VT212,212,81,F,Franklin,Enosburg,VT,"44.8838° N, 72.7711° W",,,,BB,
VT213,213,47,M,Franklin,Enosburg,VT,"44.8838° N, 72.7711° W",,,,BB,
VT214,214,32,M,Franklin,Enosburg,VT,"44.8838° N, 72.7711° W",,,,BB,
CT215,215,93,F,Fairfield,Danbury,CT,"41.4022°N, 73.4711° W",,,,MLH,No matching Inf.; Danbury p 164
CT216,216,89,M,Hartford,Granby,CT,"41.9622° N, 72.8394° W",,,,MLH,
CT217,217,74,M,Litchfield,New Milford,CT,"41.5833° N, 73.4000° W",,,,MLH,
CT218,218,60,M,New Haven,Southbury,CT,"41.4736° N, 73.2342° W",,,,MLH,LH age = 59
NH219,219,81,M,Carroll,Conway,NH,"44.0531° N, 71.1281° W",,,,GL,Infs 1&2 from Conway have same age and gender; different jobs: merchant/farmer
NH220,220,81,M,Carroll,Conway,NH,"44.0531° N, 71.1281° W",,,,GL,Infs 1&2 from Conway have same age and gender; different jobs: merchant/farmer
ME221,221,77,M,Oxford,Woodstock (Bryant Pond),ME,"44.3747° N, 70.6069° W",,,,GL,
ME222,222,74,M,Oxford,Woodstock (Bryant Pond),ME,"44.3747° N, 70.6069° W",,,,GL,
NH223,223,77,M,Coos,Shelburne,NH,"44.4011° N, 71.0747° W",,,,GL,
NH224,224,80,M,Coos,Shelburne,NH,"44.4011° N, 71.0747° W",,,,GL,
ME225,225,71,M,Oxford,Denmark (East Denmark),ME,"43.9703° N, 70.8033° W",,,,GL,
ME226,226,68,M,Oxford,Denmark (South Road),ME,"43.9703° N, 70.8033° W",,,,GL,
ME227,227,49,F,Cumberland,Casco (South Casco),ME,"43.9525° N, 70.5138° W",,,,GL,
ME228,228,64,M,Cumberland,Casco (Webbs Mills),ME,"43.9525° N, 70.5138° W",,,,GL,
ME229,229,83,F,Oxford,Newry (North Newry),ME,"44.4872° N, 70.7869° W",,,,GL,
ME230,230,71,M,Oxford,Hanover ,ME,"44.4967° N, 70.6942° W",,,,GL,
VT231,231,76,M,Orleans,Troy,VT,"44.4492° N, 72.3972° W",,,,BB,
VT232,232,38,M,Orleans,Troy,VT,"44.4492° N, 72.3972° W",,,,BB,
CT233,233,90,M,New London,Franklin,CT,"41.6197° N, 72.1425° W",,,,RH,"LH town = Bozrah; Bio says ""has lived in Franklin"""
CT234,234,70-80,F,New London,Norwich (Norwichtown),CT,"41.5503° N, 72.0875° W",,,,RH,
MA235,235,74,F,Suffolk,Boston,MA,"42.3581° N, 71.0636° W",,,,MLH,
VT236,236,56,M,Lamoille,Johnson,VT,"44.6439° N, 74.6811° W",,,,BB,
VT237,237,64,M,Lamoille,Johnson,VT,"44.6439° N, 74.6811° W",,,,BB,
VT238,238,77,M,Lamoille,Johnson,VT,"44.6439° N, 74.6811° W",,,,BLANK,
VT239,239,50,M,Chittenden,Burlington,VT,"44.4758° N, 73.2119° W",,,,BB,
VT240,240,81,M,Chittenden,Burlington,VT,"44.4758° N, 73.2119° W",,,,BB,
VT241,241,40,M,Chittenden,Burlington,VT,"44.4758° N, 73.2119° W",,,,BB,Poss LH Charlotte Inf. ; Bio mentions living in Burlington
VT242,242,81,F,Addison,Ferrisburg (Ferrisburg),VT,"44.2224° N, 73.2380° W",,,,BB,
VT243,243,69,M,Addison,Ferrisburg (North Ferrisburg),VT,"44.2224° N, 73.2380° W",,,,BB,
VT244,244,77,M,Chittenden,Huntingdon,VT,"44.3038° N, 72.9800° W﻿",,,,BB,LH town = Huntington
VT245,245,54,M,Chittenden,Huntingdon,VT,"44.3038° N, 72.9800° W﻿",,,,BB,LH town = Huntington
ME246,246,76,M,Kennebec,China (South China),ME,"44.4786° N, 69.5172° W",,,,GL,
ME247,247,99,M,Lincoln,Waldoboro,ME,"44.1014° N, 69.3897° W",,,,GL,
ME248,248,50,F,Lincoln,Nobleboro (Damariscotta Mills),ME,"44.0794° N, 69.4850° W",,,,GL,
ME249,249,76,M,Kennebec,Pittston,ME,"44.2217° N, 69.7556° W",,,,GL,
ME250,250,72,M,Cumberland,Cape Elizabeth,ME,"43.6047° N, 70.2261° W",,,,GL,
ME251,251,62,F,Kennebec,Farmingdale,ME,"44.2581° N, 69.8083° W",,,,GL,
ME252,252,84,M,Cumberland,Yarmouth (Yarmouth),ME,"41.7000° N, 70.2330° W",,,,GL,
ME253,253,55,F,Kennebec,China (China),ME,"44.4786° N, 69.5172° W",,,,GL,
CT254,254,BLANK,F,Fairfield,Bethel,CT,"41.3742°N, 73.3950° W",,,,MLH,LH age = 78
MA255,255,62,F,Bristol,Westport (South Westport),MA,"41.6389° N, 71.0500° W",,,,RH,
VT256,256,76,M,Chittenden,South Burlington,VT,"44.4519° N, 73.1817° W",,,,BB,
VT257,257,67,M,Windsor,Stockbridge,VT,"43.7617° N, 72.7369° W",,,,BB,
MA258,258,87,M,Bristol,Rehobeth,MA,"41.8403° N, 71.2495° W",,,,RH,
RI259,259,70,F,Providence,East Providence,RI,"41.8136° N, 71.3700° W",,,,RH,
CT260,260,70,M,Fairfield,Bethel,CT,"41.3742°N, 73.3950° W",,,,MLH,
CT261,261,57,M,New Haven,Milford,CT,"41.2242° N, 73.0597° W",,,,MLH,
CT262,262,20,F,Fairfield,Bridgeport,CT,"41.1864° N, 73.1956° W",,,,MLH,
VT263,263,71,M,Rutland,Castleton,VT,"43.6256° N, 73.1933° W",,,,BB,Poss LH West Rutland Inf.; bio mentions living in Castleton
VT264,264,88,F,Rutland,Castleton,VT,"43.6256° N, 73.1933° W",,,,BB,Poss LH West Rutland Inf. Aux.; bio mentions living in Castleton
VT265,265,52,M,Rutland,Castleton,VT,"43.6256° N, 73.1933° W",,,,BB,
CT266,266,47,M,Fairfield,Danbury,CT,"41.4022°N, 73.4711° W",,,,MLH,
ME267,267,78,M,Waldo,Frankfort,ME,"44.6122° N, 68.9116° W",,,,GL,
ME268,268,91,F,Penobscot,Newport,ME,"44.8367° N, 69.2725° W",,,,GL,
ME269,269,64,M,Penobscot,Newport,ME,"44.8367° N, 69.2725° W",,,,GL,
ME270,270,73,M,Penobscot,Holden (East Holden),ME,"44.7611° N, 68.6730° W",,,,GL,
